6452047;Argenteuil;
6449260;Argenton;
3037021;Argenton-les-Vallees;
3037018;Argenton-sur-Creuse;
3037017;Argentre;
3037016;Argentre-du-Plessis;
3037015;Argent-sur-Sauldre;
6450383;Arget;
6449450;Argouges;
3036957;Arinthod;
6455209;Arlanc;
6455353;Arles;
6613420;Arlet;
6449951;Arleuf;
3036932;Arleux;
3036913;Armbouts-Cappel;
6450385;Armendarits;
3036905;Armenonville-les-Gatineaux;
3036903;Armentieres;
6450024;Armentières;
3036902;Armentieres-en-Brie;
6449261;Armillac;
3036893;Armissan;
3036881;Armoy;
6447236;Arnac;
3036879;Arnac-la-Poste;
3036878;Arnac-Pompadour;
6452502;Arnage;
3036870;Arnas;
3036862;Arnay-le-Duc;
3036856;Arneke;
3036850;Arnieres-sur-Iton;
6450387;Arnos;
3036843;Arnouville;
3036837;Aron;
6617343;Aroue-Ithorots-Olhaïby;
3036823;Arpajon;
3036822;Arpajon-sur-Cere;
6447237;Arpajon-sur-Cère;
6452083;Arpheuilles-Saint-Priest;
3036800;Arques;
3036797;Arques-la-Bataille;
3036791;Arradon;
6618442;Arras;
6450388;Arrast-Larrebieu;
6450389;Arraute-Charritte;
6450390;Arricau-Bordes;
3038788;Arrondissement d'Abbeville;
3038633;Arrondissement d'Agen;
3038353;Arrondissement d'Aix-en-Provence;
3038333;Arrondissement d'Ajaccio;
3038265;Arrondissement d'Albertville;
3038260;Arrondissement d'Albi;
3038229;Arrondissement d'Alençon;
3038223;Arrondissement d'Alès;
3038011;Arrondissement d'Altkirch;
3037936;Arrondissement d'Ambert;
3037853;Arrondissement d'Amiens;
3037796;Arrondissement d'Ancenis;
3037655;Arrondissement d'Angers;
3037597;Arrondissement d'Angoulême;
3037542;Arrondissement d'Annecy;
6457368;Arrondissement d'Antony;
3037351;Arrondissement d'Apt;
6621469;Arrondissement d'Arcachon;
3037069;Arrondissement d'Argelès-Gazost;
3037050;Arrondissement d'Argentan;
6457376;Arrondissement d'Argenteuil;
3036937;Arrondissement d'Arles;
3036783;Arrondissement d'Arras;
3036293;Arrondissement d'Aubusson;
3036280;Arrondissement d'Auch;
3036015;Arrondissement d'Aurillac;
3035882;Arrondissement d'Autun;
3035842;Arrondissement d'Auxerre;
3035767;Arrondissement d'Avallon;
3035697;Arrondissement d'Avesnes-sur-Helpe;
3035679;Arrondissement d'Avignon;
3035638;Arrondissement d'Avranches;
3035417;Arrondissement de Bagnères-de-Bigorre;
3034990;Arrondissement de Barcelonnette;
